"","date","outbrk_days","case","case_incrs","death","test","test_pos","hos","residential","grocery","park","retail","transit","workplace","punemp","ppov","pincome","pnoveh","puninsur","page65","black_deaths","white_deaths"
"54",2020-03-15,55,6746,1251,79,39788,16.9548607620388,0,3.00518939241987,16.5257361899211,17.774478000595,-2.06213392937189,-2.44114181464355,-5.1876386148325,3.5,14.0604630028422,29318.1775287039,7.25741711649323,9.04128879883724,18.2637267943571,5.84199759976002,0
"55",2020-03-16,56,8306,1560,100,57671,14.4023859478768,0,6.01554255922163,24.9973299225293,8.54699277454673,-1.84185463126349,-7.10960922577914,-14.1719609714431,3.5,14.0604630028422,29318.1775287039,7.25741711649323,9.04128879883724,18.2637267943571,6.4111059105911,0
"56",2020-03-17,57,11916,3610,122,74966,15.8952058266414,325,9.02851647776333,16.1782684252995,17.8819771448381,-13.9983463856246,-9.72596075919042,-20.6098721551733,3.5,14.0604630028422,29318.1775287039,7.25741711649323,9.04128879883724,18.2637267943571,6.98021422142218,0
"57",2020-03-18,58,15084,3168,153,99993,15.0850559539168,416,10.7157788587598,11.8999728941551,21.4616350789372,-19.7253929194157,-12.2606720636312,-24.3627312354716,3.5,14.0604630028422,29318.1775287039,7.25741711649323,9.04128879883724,18.2637267943571,7.54932253225327,0
"58",2020-03-19,59,19750,4666,199,128032,15.4258310422394,617,12.8844591379933,8.45302656458015,6.98463308195285,-25.5176920836046,-18.3044365744056,-27.1584395645502,3.5,14.0604630028422,29318.1775287039,7.25741711649323,9.04128879883724,18.2637267943571,8.11843084308435,0
"59",2020-03-20,60,25994,6244,267,164608,15.7914560653188,1042,14.4981033698506,7.74143329842593,11.5714692270589,-29.6749923895359,-21.0472938104219,-28.4362001289568,3.5,14.0604630028422,29318.1775287039,7.25741711649323,9.04128879883724,18.2637267943571,8.68753915391543,0
"60",2020-03-21,61,32868,6874,328,209879,15.6604519747092,1436,10.3397083582592,2.59675715778976,17.5749315083221,-35.3807180011081,-20.5066713471622,-20.4927896480915,3.5,14.0604630028422,29318.1775287039,7.25741711649323,9.04128879883724,18.2637267943571,9.25664746474652,0
"61",2020-03-22,62,42113,9245,469,255280,16.4967878408023,2155,9.46537600565118,-7.8726645913388,12.0077409232235,-37.6495006531237,-27.8031831470537,-27.0994184118285,3.5,14.0604630028422,29318.1775287039,7.25741711649323,9.04128879883724,18.2637267943571,9.8257557755776,0
"62",2020-03-23,63,53534,11421,565,313366,17.0835380992194,2770,14.8144465511422,-5.50384532938464,-9.64871109572472,-33.2667460134647,-27.8108227518846,-32.556816675829,3.5,14.0604630028422,29318.1775287039,7.25741711649323,9.04128879883724,18.2637267943571,10.3948640864087,0
"63",2020-03-24,64,64155,10621,796,382373,16.7781197940231,3897,16.6025194967442,-9.84405031797541,6.26568878415098,-36.5786140743786,-26.7148199421333,-36.6292655571109,3.5,14.0604630028422,29318.1775287039,7.25741711649323,9.04128879883724,18.2637267943571,10.9639723972398,0
